001_L_index_1.bmp,0,1,2,3,4
001_L_index_2.bmp,11743.30634,35046.58614,177042363.4,601940.908,1
001_L_index_3.bmp,19106.21817,31459.94824,167497145.8,637087.4899,1
001_L_index_4.bmp,14368.0813,37901.99967,315651313.4,997396.398,1
001_L_index_5.bmp,12776.97781,27078.14476,257518427.4,852653.5018,1
001_L_index_6.bmp,12964.73173,23939.14243,238422201.5,817135.3926,1
001_L_middle_1.bmp,11538.13511,22706.88022,178276365.2,645199.1653,1
001_L_middle_2.bmp,11537.90777,23989.97808,144551108.4,532043.6504,1
001_L_middle_3.bmp,10509.31295,21390.92882,198108272.5,698120.0932,1
001_L_middle_4.bmp,10539.11444,25331.27345,203503175.6,710914.7923,1
001_L_middle_5.bmp,11165.36865,20387.71403,63507875.2,281093.8517,1
001_L_middle_6.bmp,10831.49839,19227.38109,67480805.52,293341.1058,1
001_L_ring_1.bmp,9999.867062,17189.54015,54351836.27,259465.3105,1
001_L_ring_2.bmp,12472.30937,31620.08978,388802825.9,1260717.89,1
001_L_ring_3.bmp,13057.98602,29319.58076,424951060.2,1369916.363,1
001_L_ring_4.bmp,16250.20227,45018.84756,779802013.4,2342270.498,1
001_L_ring_5.bmp,15299.19437,42622.17785,742829145.8,2124252.845,1
001_L_ring_6.bmp,16734.64421,72634.52609,915915143.7,2646710.378,1
002_L_index_1.bmp,16435.28005,60060.19826,866007612.5,2499184.201,1
002_L_index_2.bmp,14677.21119,25559.99704,121362056.5,543698.3473,2
002_L_index_3.bmp,13930.45565,25555.51587,115698022.5,519961.1959,2
002_L_index_4.bmp,13367.33501,24783.75997,104422869.5,479415.5239,2
002_L_index_5.bmp,12089.52919,24387.27224,107682298.6,440416.4765,2
002_L_index_6.bmp,12347.26709,27601.14458,121657101.2,474559.4756,2
002_L_middle_1.bmp,11839.71501,25142.58237,101057852.2,414440.0836,2
002_L_middle_2.bmp,9420.439739,19598.46702,89620305.25,421973.0172,2
002_L_middle_3.bmp,10251.73034,20352.24101,122128032,547730.1345,2
002_L_middle_4.bmp,10394.71342,22749.72996,164432770.1,649350.9082,2
002_L_middle_5.bmp,9688.219097,19208.41928,155331930.4,642898.9438,2
002_L_middle_6.bmp,9972.271128,22120.92632,181601662.7,702342.9025,2
002_L_ring_1.bmp,10219.74441,22983.79327,193994623.2,748207.9788,2
002_L_ring_2.bmp,11998.91578,21517.23018,205508714.5,850082.9843,2
002_L_ring_3.bmp,12506.52459,30836.52598,261091501.3,1002412.55,2
002_L_ring_4.bmp,11625.97336,20605.17413,202603060.8,838354.2323,2
002_L_ring_5.bmp,12015.03957,22405.02544,224125656.5,882215.8169,2
002_L_ring_6.bmp,11834.5388,20979.89894,212085014.8,874994.3754,2
003_L_index_1.bmp,11571.0612,20318.12834,206726278.9,863873.5623,2
003_L_index_2.bmp,11529.44587,24651.47742,111280247.7,479937.848,3
003_L_index_3.bmp,12421.84662,39564.37649,161627331.1,609088.2181,3
003_L_index_4.bmp,11499.94745,24678.52293,217243256.1,785043.6922,3
003_L_index_5.bmp,11554.19488,25469.11781,223592110,812974.4065,3
003_L_index_6.bmp,10834.9901,27997.28647,172739893.3,614556.6001,3
003_L_middle_1.bmp,10037.87179,22856.92994,133518023.1,512274.8316,3
003_L_middle_2.bmp,5653.294421,12605.31491,55200006.78,244360.601,3
003_L_middle_3.bmp,5881.304831,11944.61655,54194505.07,248662.5482,3
003_L_middle_4.bmp,5994.99416,15242.47244,75708242.56,304581.3132,3
003_L_middle_5.bmp,6861.752747,16112.0244,57488442.71,235553.4113,3
003_L_middle_6.bmp,6274.551421,13742.9384,35934022.65,180040.5845,3
003_L_ring_1.bmp,6431.881366,15251.67218,56664115.3,229125.194,3
003_L_ring_2.bmp,12331.0731,33308.15315,426550855.3,1489448.459,3
003_L_ring_3.bmp,11221.93729,25278.36069,289843326.2,1074355.807,3
003_L_ring_4.bmp,11816.58187,26952.96884,164459369.8,616294.4044,3
003_L_ring_5.bmp,11771.18315,24282.44539,155848029.7,593865.1174,3
003_L_ring_6.bmp,13155.29394,39405.44643,644609572.2,2040655.585,3
004_L_index_1.bmp,11777.16166,25861.07308,453019333.9,1551434.167,3
004_L_index_2.bmp,16813.08236,32603.68636,249910204,911833.4839,4
004_L_index_3.bmp,17052.70614,43409.16265,254150275.7,918053.7068,4
004_L_index_4.bmp,19392.05253,37089.19079,487809053,1616025.825,4
004_L_index_5.bmp,21582.4532,41812.01116,531534177.5,1744548.6,4
004_L_index_6.bmp,17958.00982,33204.77202,189305136.9,739924.5709,4
004_L_middle_1.bmp,17217.52139,31912.22603,181666802,735310.7143,4
004_L_middle_2.bmp,10170.62514,18286.94236,121658937.8,509556.7236,4
004_L_middle_3.bmp,9832.518355,17828.72614,106622320.1,474174.9347,4
004_L_middle_4.bmp,9564.319545,16912.47944,100804286.8,457135.4202,4
004_L_middle_5.bmp,14008.65256,23060.06846,99400007.59,492334.4778,4
004_L_middle_6.bmp,14658.71195,24386.50577,113562750.7,551354.4889,4
004_L_ring_1.bmp,14483.76631,23799.13953,113157107.6,544640.7532,4
004_L_ring_2.bmp,22309.58449,84802.80108,364915082,1205610.795,4
004_L_ring_3.bmp,21882.16439,41184.2585,363900805.1,1256064.074,4
004_L_ring_4.bmp,22486.21589,49029.61377,414835229.6,1393771.63,4
004_L_ring_5.bmp,22021.01955,45923.52095,396287399,1341814.36,4
004_L_ring_6.bmp,21440.5101,43408.02177,366515093.3,1233751.183,4
005_L_index_1.bmp,21314.59408,47159.98406,391644236.4,1299862.135,4
005_L_index_2.bmp,8068.918423,16520.71568,106053182,379963.0035,5
005_L_index_3.bmp,7831.403854,14875.21048,110107194.9,387848.5905,5
005_L_index_4.bmp,7817.750347,15273.22151,100036059.6,371064.6233,5
005_L_index_5.bmp,7476.617189,15855.6374,128435222,451630.1484,5
005_L_index_6.bmp,7498.795897,17201.83806,137174973.8,468970.289,5
005_L_middle_1.bmp,7513.632513,19063.51058,132531713.2,462718.7566,5
005_L_middle_2.bmp,5412.83493,19815.44514,144117451.1,454074.5789,5
005_L_middle_3.bmp,5599.137546,14987.48526,108464106.2,397540.6282,5
005_L_middle_4.bmp,5678.334546,14631.76019,116365094.7,411293.2709,5
005_L_middle_5.bmp,5119.440024,17290.86282,108380329,378841.6454,5
005_L_middle_6.bmp,4814.809873,11944.42841,99600031.44,345579.7364,5
005_L_ring_1.bmp,5130.608095,9997.532515,115849889.6,408426.8127,5
005_L_ring_2.bmp,7517.992229,16230.537,113927843.5,430872.8553,5
005_L_ring_3.bmp,8475.158285,25637.78924,165442522.4,591374.1501,5
005_L_ring_4.bmp,8128.187743,15370.27806,131697330.1,540428.6427,5
005_L_ring_5.bmp,8250.358538,16450.16774,139762154.3,555285.0813,5
005_L_ring_6.bmp,8333.456666,17850.12623,157858520,610157.0838,5
006_L_index_1.bmp,9013.330469,34060.16716,202675728.7,705650.9562,5
006_L_index_2.bmp,8556.578185,18040.25246,70018249.19,294906.6759,6
006_L_index_3.bmp,8502.704402,15723.46844,42002384.12,234941.0176,6
006_L_index_4.bmp,10896.33016,21969.32028,106033728.5,427419.1275,6
006_L_index_5.bmp,10686.12793,21558.82482,134463384.2,503171.4075,6
006_L_index_6.bmp,10045.8149,29283.89636,134411166.6,501977.7366,6
006_L_middle_1.bmp,9091.750895,17454.1845,74754505.95,343591.1341,6
006_L_middle_2.bmp,5963.851617,11856.98217,72351063.13,275793.3772,6
006_L_middle_3.bmp,6295.76285,12065.83022,80881620.76,308663.1131,6
006_L_middle_4.bmp,4962.616259,8711.291937,38511888.21,170219.1133,6
006_L_middle_5.bmp,5905.984863,12059.91148,69722950.55,264365.0676,6
006_L_middle_6.bmp,6927.459257,13375.02758,115818448.4,452495.6204,6
006_L_ring_1.bmp,6590.946552,13355.80725,113191604.6,435092.8805,6
006_L_ring_2.bmp,13713.14667,27883.46336,306595419.6,1082259.065,6
006_L_ring_3.bmp,13921.09476,32508.9792,324848591.9,1123933.096,6
006_L_ring_4.bmp,11176.93653,32848.328,282630230.2,1036031.704,6
006_L_ring_5.bmp,12159.00272,32641.2945,316892108.5,1183181.546,6
006_L_ring_6.bmp,12435.45691,33885.93979,328553640.6,1199990.978,6
007_L_index_1.bmp,12280.90998,34314.94863,335898297.5,1214553.913,6
007_L_index_2.bmp,10536.6996,18717.70367,230674432.4,847438.1261,7
007_L_index_3.bmp,11113.9799,20121.92871,269356854.8,940226.0362,7
007_L_index_4.bmp,10635.8741,18387.20103,229246897.5,840702.6677,7
007_L_index_5.bmp,10988.04828,19424.16417,267648757.4,948970.3808,7
007_L_index_6.bmp,9576.302244,16736.22493,165241377.5,535507.5172,7
007_L_middle_1.bmp,9962.042178,17451.71531,164916925,546657.2817,7
007_L_middle_2.bmp,8904.016063,15071.36879,239472673.9,791482.2376,7
007_L_middle_3.bmp,9327.288021,16918.00674,246726549.9,791059.4132,7
007_L_middle_4.bmp,9457.04477,16862.59937,244987123.5,791699.6777,7
007_L_middle_5.bmp,8143.172051,27587.46058,242093688.4,792911.2005,7
007_L_middle_6.bmp,8296.3913,22880.02032,235948896.1,812905.9206,7
007_L_ring_1.bmp,8300.306914,15517.41413,183718254,657460.797,7
007_L_ring_2.bmp,11952.32263,24234.05253,444634096,1525310.416,7
007_L_ring_3.bmp,11469.66246,24310.64799,413259540.5,1427992.182,7
007_L_ring_4.bmp,12420.56678,22146.21901,474138494.6,1604032.32,7
007_L_ring_5.bmp,10917.62084,23545.81856,367751747.8,1288491.676,7
007_L_ring_6.bmp,11697.49117,20870.66392,431351980.9,1468670.018,7
008_L_index_1.bmp,11336.28823,19038.67105,329127164.2,1109206.864,7
008_L_index_2.bmp,12003.1799,22948.59164,187188638.6,682520.8981,8
008_L_index_3.bmp,11983.11188,22564.25028,180245054.8,645174.386,8
008_L_index_4.bmp,11092.89802,20123.29086,157247329.1,568510.7149,8
008_L_index_5.bmp,11125.01901,19924.34244,146114104.7,543952.1188,8
008_L_index_6.bmp,11334.79936,19784.6616,125119969.2,463183.9657,8
008_L_middle_1.bmp,11668.41366,20567.85479,128071770.8,473113.7417,8
008_L_middle_2.bmp,10639.42785,19830.84028,160480828.2,521027.2728,8
008_L_middle_3.bmp,9064.663294,15763.40879,107199633.1,377641.0166,8
008_L_middle_4.bmp,9293.403996,17022.33667,115359765.8,385444.3291,8
